REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,28,1,100,0,0,101,62,1,1,1,2,0,1,1,4470,23000,199,BBB,411012,23000
3,73,1,100,0,0,81,0,1,1,1,2,0,2,1,8090,0,199,BBB,291141,9500
3,76,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,343,BBB,BBBBBB,40000
3,45,1,100,0,0,65,0,1,6,1,4,0,1,2,8770,0,85,BBB,493023,15000
3,44,1,100,0,0,63,0,1,6,1,4,0,2,2,7070,0,85,BBB,372012,10000
3,17,1,100,0,0,40,0,1,B,5,4,0,1,1,BBBB,0,85,BBB,BBBBBB,0
3,72,1,100,0,0,65,0,1,6,3,4,0,2,1,8980,0,210,BBB,395012,24600
3,73,1,100,0,0,81,0,1,1,2,4,0,2,1,770,0,147,BBB,433031,17000
3,87,1,100,0,0,63,0,1,B,1,4,0,1,1,BBBB,0,137,BBB,BBBBBB,12000
3,85,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,137,BBB,BBBBBB,8000
3,62,1,100,0,0,63,0,1,1,1,4,0,1,1,4970,0,266,BBB,412010,1100
3,58,1,100,0,0,63,0,1,1,1,4,0,2,1,580,42000,266,1,439XXX,42000
3,63,1,100,0,0,71,0,1,B,3,2,0,2,1,BBBB,0,89,BBB,BBBBBB,13800
3,24,1,100,0,0,65,0,1,1,5,4,0,2,1,8770,3800,89,BBB,493021,3800
3,86,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,216,BBB,BBBBBB,24900
3,59,1,100,0,0,71,0,1,B,3,4,0,2,1,BBBB,0,216,BBB,BBBBBB,0
3,32,1,100,0,0,30,0,1,1,4,4,0,1,2,770,15600,216,1,472181,15600
3,40,1,100,0,0,50,0,1,1,1,4,0,1,2,7770,7200,216,1,373010,13400
3,35,1,100,1,100,114,53,1,1,5,4,0,2,1,8180,57000,452,1,132011,57000
3,33,6,620,0,0,64,0,1,1,5,4,0,1,2,5790,38000,308,1,411011,38900
3,81,2,200,0,0,50,0,1,1,2,4,0,2,1,9290,0,73,BBB,372012,8600
3,39,1,100,0,0,63,0,1,1,5,4,0,1,1,8770,0,114,BBB,536031,14300
3,27,2,200,0,0,114,24,1,1,1,4,0,1,1,7290,88000,501,1,172070,88000
3,25,2,200,0,0,116,41,1,1,1,4,0,2,1,5380,0,501,BBB,419099,0
3,48,1,100,0,0,63,0,1,B,1,4,0,2,1,BBBB,0,400,BBB,BBBBBB,5000
3,50,1,100,0,0,101,62,1,1,1,4,0,1,1,2670,75000,400,1,113121,75000
3,21,1,100,0,0,71,0,1,1,5,4,0,1,1,8590,20000,400,1,37201X,20000
3,19,1,100,0,0,65,0,1,1,5,4,0,1,1,3190,600,400,1,37201X,600
3,20,1,100,0,0,50,0,1,1,5,4,0,2,1,8680,240,1,BBB,412010,240
3,58,1,100,0,0,65,0,1,1,1,4,0,1,1,2870,55000,500,1,111021,55000
3,64,1,100,0,0,101,62,1,1,1,4,0,2,1,4870,50000,500,1,132011,50000
3,29,1,100,0,0,101,37,1,1,5,4,0,1,1,5380,0,500,BBB,412031,0
3,25,1,100,0,0,63,0,1,1,5,4,0,1,1,2870,20000,500,1,131051,20000
3,62,2,200,0,0,63,0,1,B,3,4,0,1,2,BBBB,0,428,BBB,BBBBBB,54400
